weekday,weekday_num,rides,,,,,,,,,,,,,,,,,
7:00 PM,5,1,,"'5': 1,",0,0,0,1,0,0,0,,"{'x':1,'y':5,'z':0},","{'x':2,'y':5,'z':0},","{'x':3,'y':5,'z':0},","{'x':4,'y':5,'z':1},","{'x':5,'y':5,'z':0},","{'x':6,'y':5,'z':0},","{'x':7,'y':5,'z':0},"
8:00 PM,6,3,,"'6': 3,",0,3,0,0,0,0,0,,"{'x':1,'y':6,'z':0},","{'x':2,'y':6,'z':3},","{'x':3,'y':6,'z':0},","{'x':4,'y':6,'z':0},","{'x':5,'y':6,'z':0},","{'x':6,'y':6,'z':0},","{'x':7,'y':6,'z':0},"
9:00 PM,7,10,,"'7': 10,",0,3,4,2,1,0,0,,"{'x':1,'y':7,'z':0},","{'x':2,'y':7,'z':3},","{'x':3,'y':7,'z':4},","{'x':4,'y':7,'z':2},","{'x':5,'y':7,'z':1},","{'x':6,'y':7,'z':0},","{'x':7,'y':7,'z':0},"
10:00 PM,8,9,,"'8': 9,",0,1,2,3,3,0,0,,"{'x':1,'y':8,'z':0},","{'x':2,'y':8,'z':1},","{'x':3,'y':8,'z':2},","{'x':4,'y':8,'z':3},","{'x':5,'y':8,'z':3},","{'x':6,'y':8,'z':0},","{'x':7,'y':8,'z':0},"
11:00 PM,9,0,,"'9': 0,",0,0,0,0,0,0,0,,"{'x':1,'y':9,'z':0},","{'x':2,'y':9,'z':0},","{'x':3,'y':9,'z':0},","{'x':4,'y':9,'z':0},","{'x':5,'y':9,'z':0},","{'x':6,'y':9,'z':0},","{'x':7,'y':9,'z':0},"
12:00 AM,10,0,,"'10': 0,",0,0,0,0,0,0,0,,"{'x':1,'y':10,'z':0},","{'x':2,'y':10,'z':0},","{'x':3,'y':10,'z':0},","{'x':4,'y':10,'z':0},","{'x':5,'y':10,'z':0},","{'x':6,'y':10,'z':0},","{'x':7,'y':10,'z':0},"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Make,Model,,,UniqueMake,,,,,,,,,,,,,,,
Ford,Focus,,,Ford,,,,,,,,,,,,,,,
Honda,Accord,,,Honda,,,,,,,,,,,,,,,
Honda,Fit,,,Hyundai,,,,,,,,,,,,,,,
Honda,Insight,,,Kia,,,,,,,,,,,,,,,
Hyundai,Elantra,,,Mazda,,,,,,,,,,,,,,,
Hyundai,Sonata,,,Mitsubishi,,,,,,,,,,,,,,,
Kia,Optima,,,Nissan,,,,,,,,,,,,,,,
Mazda,Demio,,,Renault,,,,,,,,,,,,,,,
Mitsubishi,Colt,,,Suzuki,,,,,,,,,,,,,,,
Nissan,Altima,,,Toyota,,,,,,,,,,,,,,,
Nissan,March,,,,,,,,,,,,,,,,,,
Renault,Kwid,,,UniqueModel,,,,,,,,,,,,,,,
Suzuki,Alto,,,,,,,,,,,,,,,,,,
Suzuki,Swift,,,,,,,,,,,,,,,,,,
Toyota,Belta,,,,,,,,,,,,,,,,,,
Toyota,Camry,,,,,,,,,,,,,,,,,,
Toyota,Corolla,,,,,,,,,,,,,,,,,,
Toyota,Corolla Axio,,,,,,,,,,,,,,,,,,
Toyota,Corolla Fielder,,,,,,,,,,,,,,,,,,
Toyota,Highlander,,,,,,,,,,,,,,,,,,
Toyota,Passo,,,,,,,,,,,,,,,,,,
Toyota,Porte,,,,,,,,,,,,,,,,,,
Toyota,Prius,,,,,,,,,,,,,,,,,,
Toyota,Ractis,,,,,,,,,,,,,,,,,,
Toyota,Sienna,,,,,,,,,,,,,,,,,,
Toyota,Vitz,,,,,,,,,,,,,,,,,,
Toyota,WISH,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
